org,name,orgNumber,item,orgnr,itemLabel,QID,_merge
http://dataportal.se/organisation/SE2120000159,Södertälje kommun,212000-0159,http://www.wikidata.org/entity/Q516336,212000-0159,Södertälje kommun,Q516336,both
http://dataportal.se/organisation/SE2120000852,Sölvesborgs kommun,212000-0852,http://www.wikidata.org/entity/Q515409,212000-0852,Sölvesborgs kommun,Q515409,both
http://dataportal.se/organisation/SE2120001660,Tibro kommun,212000-1660,http://www.wikidata.org/entity/Q501432,212000-1660,Tibro kommun,Q501432,both
http://dataportal.se/organisation/SE2120001736,Tidaholms kommun,212000-1736,http://www.wikidata.org/entity/Q501459,212000-1736,Tidaholms kommun,Q501459,both
http://dataportal.se/organisation/SE2120000266,Tierps kommun,212000-0266,http://www.wikidata.org/entity/Q510198,212000-0266,Tierps kommun,Q510198,both
http://dataportal.se/organisation/SE2120001306,Tjörns kommun,212000-1306,http://www.wikidata.org/entity/Q501448,212000-1306,Tjörns kommun,Q501448,both
http://dataportal.se/organisation/SE2120000886,Tomelilla kommun,212000-0886,http://www.wikidata.org/entity/Q515519,212000-0886,Tomelilla kommun,Q515519,both
http://dataportal.se/organisation/SE2120001678,Töreboda kommun,212000-1678,http://www.wikidata.org/entity/Q501470,212000-1678,Töreboda kommun,Q501470,both
http://dataportal.se/organisation/SE2120001579,Ulricehamns kommun,212000-1579,http://www.wikidata.org/entity/Q382808,212000-1579,Ulricehamns kommun,Q382808,both
http://dataportal.se/organisation/SE2120002924,Vara kommun,212000-2924,http://www.wikidata.org/entity/Q501428,212000-2924,Vara kommun,Q501428,both
http://dataportal.se/organisation/SE2120001249,Varbergs kommun,212000-1249,http://www.wikidata.org/entity/Q179180,212000-1249,Varbergs kommun,Q179180,both
http://dataportal.se/organisation/SE2120000308,Vingåkers kommun,212000-0308,http://www.wikidata.org/entity/Q249378,212000-0308,Vingåkers kommun,Q249378,both
http://dataportal.se/organisation/SE2120000035,Värmdö kommun,212000-0035,http://www.wikidata.org/entity/Q493841,212000-0035,Värmdö kommun,Q493841,both
http://dataportal.se/organisation/SE2120001181,Ystads kommun,212000-1181,http://www.wikidata.org/entity/Q505102,212000-1181,Ystads kommun,Q505102,both
http://dataportal.se/organisation/SE2120000258,Älvkarleby kommun,212000-0258,http://www.wikidata.org/entity/Q59858,212000-0258,Älvkarleby kommun,Q59858,both
http://dataportal.se/organisation/SE2120002387,Ånge kommun,212000-2387,http://www.wikidata.org/entity/Q271107,212000-2387,Ånge kommun,Q271107,both
