lang,page_title,url,wiki_link,domain,lang_code,lang_name
sv,Prediktiv textinmatning,https://www.digg.se/webbriktlinjer/alla-webbriktlinjer/ange-syftet-for-formularfalt-i-koden,https://sv.wikipedia.org/wiki/Prediktiv_textinmatning,www.digg.se,sv,svenska
sv,Säker digital kommunikation,https://www.digg.se/saker-digital-kommunikation,https://sv.wikipedia.org/wiki/Säker_digital_kommunikation,www.digg.se,sv,svenska
sv,Säker digital kommunikation,https://www.digg.se/saker-digital-kommunikation/fragor-och-svar-om-sdk/faq-for-deltagarorganisationer,https://sv.wikipedia.org/wiki/Säker_digital_kommunikation,www.digg.se,sv,svenska
sv,Säker digital kommunikation,https://www.digg.se/saker-digital-kommunikation/sdk-for-leverantorer-av-meddelandesystem/tekniska-specifikationer/sdk-tekniska-specifikationer,https://sv.wikipedia.org/wiki/Säker_digital_kommunikation,www.digg.se,sv,svenska
sv,Säker digital kommunikation,https://www.digg.se/om-oss/nyheter/sdk---saker-digital-kommunikation/nyheter/2023-03-22-att-skrota-faxen-ar-ett-av-malen-nar-digg-tar-over-ansvaret-for-att-infora-saker-digital-kommunikation-mellan-valfardens-aktorer,https://sv.wikipedia.org/wiki/Säker_digital_kommunikation,www.digg.se,sv,svenska
sv,Diskussion:Vaccinationsbevis verifiering,https://www.digg.se/ovrigt/dolda-sidor/vaccinationsbevis/vaccinationsbevis-verifiering-information,https://sv.wikipedia.org/wiki/Diskussion:Vaccinationsbevis_verifiering,www.digg.se,sv,svenska
sv,Myndigheten för digital förvaltning,https://www.digg.se/om-oss/remisser-och-yttranden/yttranden-2024/yttranden-2024/2024-12-04-digital-myndighetspost-sou-202447,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se,sv,svenska
sv,Covid-19-vaccinering i Sverige,https://www.digg.se/utveckling-av-digital-forvaltning/verifieringslosning-for-vaccinationsbevis,https://sv.wikipedia.org/wiki/Covid-19-vaccinering_i_Sverige,www.digg.se,sv,svenska
sv,Covid-19-vaccinering i Sverige,https://www.digg.se/ovrigt/dolda-sidor/vaccinationsbevis/vaccinationsbevis-verifiering-information,https://sv.wikipedia.org/wiki/Covid-19-vaccinering_i_Sverige,www.digg.se,sv,svenska
sv,AI-förordningen,https://www.digg.se/kunskap-och-stod/eu-rattsakter/ai-forordningen,https://sv.wikipedia.org/wiki/AI-förordningen,www.digg.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2020,https://www.dataportal.se/,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2020,www.dataportal.se,sv,svenska
sv,Wikipedia:Projekt naturreservat,https://community.dataportal.se/topic/32/nosad-tisdag-2-februari-kl-10-00-12-00-api-nycklar-openapi-swagger-och-notebooks-hur-maximerar-vi-anv%C3%A4ndandet-av-%C3%B6ppna-data,https://sv.wikipedia.org/wiki/Wikipedia:Projekt_naturreservat,community.dataportal.se,sv,svenska
sv,Användardiskussion:Salgo60,https://community.dataportal.se/topic/32/nosad-tisdag-2-februari-kl-10-00-12-00-api-nycklar-openapi-swagger-och-notebooks-hur-maximerar-vi-anv%C3%A4ndandet-av-%C3%B6ppna-data,https://sv.wikipedia.org/wiki/Användardiskussion:Salgo60,community.dataportal.se,sv,svenska
sv,Användardiskussion:Salgo60,https://community.dataportal.se/topic/70/fakturor-b%C3%B6rjar-dyka-upp-som-%C3%B6ppen-data,https://sv.wikipedia.org/wiki/Användardiskussion:Salgo60,community.dataportal.se,sv,svenska
sv,Användardiskussion:Salgo60,https://community.dataportal.se/topic/60/beskrivning-%C3%B6ppna-data-fr%C3%A5n-digg/13,https://sv.wikipedia.org/wiki/Användardiskussion:Salgo60,community.dataportal.se,sv,svenska
sv,Myndigheten för digital förvaltning,https://www.dataportal.se/,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2021-10,https://community.dataportal.se/topic/158/h%C3%A4r-kommer-h%C3%B6stens-nosad-workshops/8?_=1633533383008,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2021-10,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2021-11,https://community.dataportal.se/topic/200/knowledge-graph-team-ikea,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2021-11,community.dataportal.se,sv,svenska
sv,Diskussion:Regeringen Andersson,https://community.dataportal.se/topic/243/textdata-och-delning-av-statliga-utredningar-f%C3%B6r-maskinell-analys/8,https://sv.wikipedia.org/wiki/Diskussion:Regeringen_Andersson,community.dataportal.se,sv,svenska
sv,Diskussion:Regeringen Andersson,https://community.dataportal.se/topic/243/textdata-och-delning-av-statliga-utredningar-f%C3%B6r-maskinell-analys/9,https://sv.wikipedia.org/wiki/Diskussion:Regeringen_Andersson,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2021-12,https://www.dataportal.se/en/datasets?p=1&q=SCB&s=2&t=20&f=http://purl.org/dc/terms/publisher%7C%7Chttp://id.kb.se/organisations/SE2021000837%7C%7Cfalse%7C%7Curi%7C%7COrganization%7C%7CStatistics%20Sweden%20-%20SCB$http://purl.org/dc/terms/license%7C%7Chttp://creativecommons.org/publicdomain/zero/1.0/%7C%7Cfalse%7C%7Curi%7C%7CLicense%7C%7CCC0&rt=dataset$esterms_IndependentDataService$esterms_ServedByDataService&c=false,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2021-12,www.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2021-12,https://community.dataportal.se/topic/43/ang-scbs-val-av-licens/11?_=1637681918881,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2021-12,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2021-12,https://community.dataportal.se/topic/243/textdata-och-delning-av-statliga-utredningar-f%C3%B6r-maskinell-analys/8,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2021-12,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2021,https://community.dataportal.se/topic/208/namnstandard-vad-specar-heter-och-hur-de-refereras-backlog/3?_=1634486734349,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2021,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/213/exempel-p%C3%A5-bra-anv%C3%A4ndningsvillkor-f%C3%B6r-apier/13?_=1635510010363,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/217/statens-budget-som-l%C3%A4nkad-data/4?_=1635696422719,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2022-01,https://community.dataportal.se/topic/243/textdata-och-delning-av-statliga-utredningar-f%C3%B6r-maskinell-analys/9?_=1640779137432,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2022-01,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/237/wikibase-and-the-eu-knowledge-graph-as-an-use-case,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/200/knowledge-graph-team-ikea?_=1637056921399,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/245/utegym-som-%C3%B6ppna-data-hur-du-publicerar/5,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2022-07,https://community.dataportal.se/topic/381/communityskapande-i-dataportalen-fler-funktioner-eller-inte/13?_=1655634229627,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2022-07,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2022-08,https://community.dataportal.se/topic/396/kommunalfullm%C3%A4ktiges-sammantr%C3%A4den-live/15,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2022-08,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2022-08,https://community.dataportal.se/recent,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2022-08,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2022-08,https://community.dataportal.se/topic/400/vad-saknas-varf%C3%B6r-blir-det-s%C3%A5-dumt-ingen-pratar-design-m%C3%B6nster,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2022-08,community.dataportal.se,sv,svenska
sv,Användardiskussion:Salgo60,https://community.dataportal.se/post/2687,https://sv.wikipedia.org/wiki/Användardiskussion:Salgo60,community.dataportal.se,sv,svenska
sv,Wikipedia:Wikidatafrågor/Arkiv 2022,https://community.dataportal.se/topic/364/kategorier-av-%C3%B6ppna-data,https://sv.wikipedia.org/wiki/Wikipedia:Wikidatafrågor/Arkiv_2022,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2023-04,https://community.dataportal.se/users,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2023-04,community.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen/Arkiv 2023-10,https://community.dataportal.se/topic/850/status-h%C3%B6sten-2023-p%C3%A5-offentliga-datam%C3%A4ngder-f%C3%B6r-en-%C3%B6ppen-och-v%C3%A4lfungerande-demokrati,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2023-10,community.dataportal.se,sv,svenska
sv,Umeå,https://www.dataportal.se/datasets/43_56901,https://sv.wikipedia.org/wiki/Umeå,www.dataportal.se,sv,svenska
sv,Användare:Adamhr37/sandlåda 2,https://www.dataportal.se/datasets/272_2057,https://sv.wikipedia.org/wiki/Användare:Adamhr37/sandlåda_2,www.dataportal.se,sv,svenska
sv,Ronneby Airport,https://www.dataportal.se/datasets/272_2057,https://sv.wikipedia.org/wiki/Ronneby_Airport,www.dataportal.se,sv,svenska
sv,Dala Airport,https://www.dataportal.se/datasets/272_2057,https://sv.wikipedia.org/wiki/Dala_Airport,www.dataportal.se,sv,svenska
sv,Wikipedia:Bybrunnen,https://community.dataportal.se/topic/1069/communityt-st%C3%A4ngs-vid-%C3%A5rsskiftet,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen,community.dataportal.se,sv,svenska
